"model"|"product"|"m"|"features"|"dependencies"|"variables"|"relations"|"start"|"end"|"result"|"time"|"resultSize"|"min"|"minSize"|"union"|"accuracy"|"minimality"
"tiny.xml"|"100-5"|4|4|2|4|4|1501527180985|1501527181103|"U_root, U_A, U_C, U_B"|118|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-5"|6|4|2|4|4|1501527181176|1501527181266|"U_root, U_A, U_C, U_B"|90|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-5"|10|4|2|4|4|1501527181153|1501527181269|"U_root, U_A, U_C, U_B"|116|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-6"|1|4|2|4|4|1501527181275|1501527181386|"U_C"|111|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-6"|2|4|2|4|4|1501527181484|1501527181599|"U_C, U_B"|115|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-6"|4|4|2|4|4|1501527181642|1501527181753|"U_root, U_A, U_C, U_B"|111|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-6"|6|4|2|4|4|1501527181647|1501527181756|"U_root, U_A, U_C, U_B"|109|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-6"|10|4|2|4|4|1501527181778|1501527181876|"U_root, U_A, U_C, U_B"|98|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-7"|1|4|2|4|4|1501527181935|1501527182039|"U_C"|104|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-7"|2|4|2|4|4|1501527182076|1501527182170|"U_C, U_B"|94|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-7"|4|4|2|4|4|1501527182153|1501527182268|"U_root, U_A, U_C, U_B"|115|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-7"|6|4|2|4|4|1501527182274|1501527182376|"U_root, U_A, U_C, U_B"|102|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-7"|10|4|2|4|4|1501527182440|1501527182537|"U_root, U_A, U_C, U_B"|97|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-8"|1|4|2|4|4|1501527182510|1501527182616|"U_C"|106|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-8"|2|4|2|4|4|1501527182605|1501527182706|"U_C, U_B"|101|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-8"|4|4|2|4|4|1501527182791|1501527182891|"U_root, U_A, U_C, U_B"|100|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-8"|6|4|2|4|4|1501527182921|1501527183032|"U_root, U_A, U_C, U_B"|111|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-8"|10|4|2|4|4|1501527182996|1501527183094|"U_root, U_A, U_C, U_B"|98|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-9"|1|4|2|4|4|1501527183078|1501527183193|"U_C"|115|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-9"|2|4|2|4|4|1501527183286|1501527183404|"U_C, U_B"|118|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-9"|4|4|2|4|4|1501527183400|1501527183498|"U_root, U_A, U_C, U_B"|98|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-9"|6|4|2|4|4|1501527183472|1501527183553|"U_root, U_A, U_C, U_B"|81|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-9"|10|4|2|4|4|1501527183569|1501527183642|"U_root, U_A, U_C, U_B"|73|4|"U_C"|1|"U_C"|1|0.25
