"model","variables","dependencies","m","time.mean","minimality.mean","accuracy.mean"
"model_20110203_1382675896.xml",14,0,10,108.9,0.464285714285714,1
"model_20110203_2097159983.xml",18,0,1,126.3,1,1
"model_20110203_2097159983.xml",18,0,2,119.333333333333,0.666666666666667,1
"model_20110203_2097159983.xml",18,0,4,115.766666666667,0.555555555555556,1
"model_20110203_2097159983.xml",18,0,6,113,0.466666666666667,1
"model_20110203_2097159983.xml",18,0,10,114.666666666667,0.437037037037037,1
"model_20110207_1623721536.xml",27,9,1,157.466666666667,1,1
"model_20110207_1623721536.xml",27,9,2,155.366666666667,0.583333333333333,1
"model_20110207_1623721536.xml",27,9,4,138.1,0.416666666666667,0.777777777777778
"model_20110207_1623721536.xml",27,9,6,127.533333333333,0.35,1
"model_20110207_1623721536.xml",27,9,10,124.2,0.28525641025641,1
"model_20110207_906076676.xml",12,0,1,121.666666666667,1,1
"model_20110207_906076676.xml",12,0,2,117.633333333333,0.666666666666667,1
"model_20110207_906076676.xml",12,0,4,112.7,0.555555555555556,1
"model_20110207_906076676.xml",12,0,6,110.233333333333,0.5,1
"model_20110207_906076676.xml",12,0,10,111.6,0.5,1
"model_20110214_751339643.xml",56,84,1,459.166666666667,1,1
"model_20110214_751339643.xml",56,84,2,387.2,0.577777777777778,1
"model_20110214_751339643.xml",56,84,4,326,0.439814814814815,1
"model_20110214_751339643.xml",56,84,6,301.333333333333,0.39537037037037,1
"model_20110214_751339643.xml",56,84,10,208,0.303769841269841,1
"model_20110216_1027109687.xml",12,4,1,136.733333333333,1,1
"model_20110216_1027109687.xml",12,4,2,126.466666666667,0.666666666666667,1
"model_20110216_1027109687.xml",12,4,4,120.366666666667,0.555555555555556,1
"model_20110216_1027109687.xml",12,4,6,117.5,0.5,1
"model_20110216_1027109687.xml",12,4,10,121.866666666667,0.5,1
"model_20110216_608697455.xml",14,4,1,136.033333333333,1,1
"model_20110216_608697455.xml",14,4,2,129.533333333333,0.666666666666667,1
"model_20110216_608697455.xml",14,4,4,125.333333333333,0.5,1
"model_20110216_608697455.xml",14,4,6,121.333333333333,0.5,1
"model_20110216_608697455.xml",14,4,10,115.533333333333,0.464285714285714,1
"model_20110222_2078967171.xml",48,5,1,186.433333333333,1,1
"model_20110222_2078967171.xml",48,5,2,169.733333333333,0.5,1
"model_20110222_2078967171.xml",48,5,4,155.4,0.277777777777778,1
"model_20110222_2078967171.xml",48,5,6,146.366666666667,0.222222222222222,1
"model_20110222_2078967171.xml",48,5,10,142.4,0.186507936507937,1
"model_20110301_216655728.xml",10,0,1,107.933333333333,1,1
"model_20110301_216655728.xml",10,0,2,107,0.666666666666667,1
"model_20110301_216655728.xml",10,0,4,105.3,0.555555555555556,1
"model_20110301_216655728.xml",10,0,6,105.666666666667,0.511111111111111,1
"model_20110301_216655728.xml",10,0,10,104.5,0.511111111111111,1
"model_20110306_314567479.xml",14,0,1,127.1,1,1
"model_20110306_314567479.xml",14,0,2,122.966666666667,0.666666666666667,1
"model_20110306_314567479.xml",14,0,4,119.3,0.5,1
"model_20110306_314567479.xml",14,0,6,117.9,0.5,1
"model_20110306_314567479.xml",14,0,10,112.433333333333,0.464285714285714,1
"model_20110310_1849309646.xml",23,0,1,168.033333333333,1,0.983333333333333
"model_20110310_1849309646.xml",23,0,2,152.333333333333,0.833333333333333,0.85
